"zipcode","cab_type","pickup_week","count"
"10019","uber","31",9826
"10019","green","32",8
"10019","uber","32",9619
"10019","green","33",6
"10019","uber","33",9128
"10019","green","34",5
"10019","uber","34",8249
"10019","green","35",4
"10019","uber","35",7594
"10019","green","36",1
"10019","uber","36",10451
"10019","green","37",2
"10019","uber","37",11535
"10019","uber","38",11287
"10019","green","39",1
"10019","uber","39",10627
"10019","uber","40",3255
"10020","uber","14",370
"10020","uber","15",509
"10020","green","16",1
"10020","uber","16",376
"10020","uber","17",424
"10020","uber","18",529
"10020","uber","19",516
"10020","green","20",1
"10020","uber","20",565
"10020","uber","21",493
"10020","uber","22",351
"10020","uber","23",434
"10020","green","24",3
"10020","uber","24",561
"10020","green","25",2
"10020","uber","25",542
"10020","uber","26",560
"10020","uber","27",371
"10020","uber","28",477
"10020","uber","29",640
"10020","uber","30",541
"10020","uber","31",615
"10020","uber","32",489
"10020","uber","33",436
"10020","uber","34",394
"10020","uber","35",330
"10020","green","36",1
"10020","uber","36",474
"10020","uber","37",516
"10020","uber","38",576
"10020","uber","39",522
"10020","uber","40",166
"10021","green","14",5
"10021","uber","14",2391
"10021","green","15",2
"10021","uber","15",2513
"10021","green","16",2
"10021","uber","16",2355
"10021","green","17",6
"10021","uber","17",2835
"10021","green","18",4
"10021","uber","18",3575
"10021","green","19",7
"10021","uber","19",3514
"10021","green","20",5
"10021","uber","20",3625
"10021","green","21",7
"10021","uber","21",2962
"10021","green","22",4
"10021","uber","22",2709
"10021","green","23",3
"10021","uber","23",3218
"10021","green","24",10
"10021","uber","24",3679
"10021","green","25",3
"10021","uber","25",2854
"10021","green","26",9
"10021","uber","26",2741
"10021","green","27",4
"10021","uber","27",2051
"10021","green","28",3
"10021","uber","28",3248
"10021","green","29",1
"10021","uber","29",3395
"10021","green","30",2
"10021","uber","30",3442
"10021","green","31",1
"10021","uber","31",3461
"10021","green","32",6
"10021","uber","32",3306
"10021","green","33",5
"10021","uber","33",3097
"10021","green","34",5
"10021","uber","34",2793
"10021","green","35",2
"10021","uber","35",2664
"10021","uber","36",3885
"10021","green","37",2
"10021","uber","37",4659
"10021","green","38",3
"10021","uber","38",4811
"10021","uber","39",4665
"10021","uber","40",1363
"10022","green","14",3
"10022","uber","14",5812
"10022","green","15",4
"10022","uber","15",6649
"10022","green","16",1
"10022","uber","16",5691
"10022","green","17",9
"10022","uber","17",6804
"10022","green","18",7
"10022","uber","18",8631
"10022","green","19",11
"10022","uber","19",8081
"10022","green","20",10
"10022","uber","20",8107
"10022","green","21",6
"10022","uber","21",7505
"10022","green","22",6
"10022","uber","22",6727
"10022","green","23",7
"10022","uber","23",7889
"10022","green","24",7
"10022","uber","24",8894
"10022","green","25",8
"10022","uber","25",8053
"10022","green","26",6
"10022","uber","26",7933
"10022","green","27",1
"10022","uber","27",5877
"10022","green","28",10
"10022","uber","28",8220
"10022","green","29",9
"10022","uber","29",9653
"10022","green","30",4
"10022","uber","30",9293
"10022","green","31",4
"10022","uber","31",9072
"10022","green","32",6
"10022","uber","32",8311
"10022","green","33",10
"10022","uber","33",7874
"10022","green","34",9
"10022","uber","34",6906
"10022","green","35",3
"10022","uber","35",6289
"10022","uber","36",9058
"10022","green","37",1
"10022","uber","37",10752
"10022","uber","38",10583
"10022","green","39",2
"10022","uber","39",8142
"10022","uber","40",3081
"10023","green","14",4
"10023","uber","14",2121
"10023","green","15",6
"10023","uber","15",2425
