"zipcode","cab_type","pickup_hour","count"
"10024","uber",23,1242
"10025","green",0,3217
"10025","green",1,1994
"10025","green",2,1368
"10025","green",3,875
"10025","green",4,734
"10025","green",5,795
"10025","green",6,1420
"10025","green",7,3637
"10025","green",8,7808
"10025","green",9,8886
"10025","green",10,7978
"10025","green",11,7144
"10025","green",12,7654
"10025","green",13,7807
"10025","green",14,8725
"10025","green",15,11832
"10025","green",16,13015
"10025","green",17,12338
"10025","green",18,11708
"10025","green",19,10639
"10025","green",20,8912
"10025","green",21,7228
"10025","green",22,5635
"10025","green",23,4555
"10025","uber",0,557
"10025","uber",1,370
"10025","uber",2,303
"10025","uber",3,577
"10025","uber",4,907
"10025","uber",5,1429
"10025","uber",6,2814
"10025","uber",7,3111
"10025","uber",8,3116
"10025","uber",9,2196
"10025","uber",10,1895
"10025","uber",11,1830
"10025","uber",12,1699
"10025","uber",13,2013
"10025","uber",14,2222
"10025","uber",15,2244
"10025","uber",16,2499
"10025","uber",17,2645
"10025","uber",18,2437
"10025","uber",19,2116
"10025","uber",20,1888
"10025","uber",21,1755
"10025","uber",22,1467
"10025","uber",23,909
"10026","green",0,7119
"10026","green",1,5283
"10026","green",2,3259
"10026","green",3,1974
"10026","green",4,1628
"10026","green",5,1930
"10026","green",6,3365
"10026","green",7,7488
"10026","green",8,13380
"10026","green",9,13252
"10026","green",10,11026
"10026","green",11,9323
"10026","green",12,9046
"10026","green",13,8950
"10026","green",14,9915
"10026","green",15,10531
"10026","green",16,11263
"10026","green",17,11183
"10026","green",18,12698
"10026","green",19,12166
"10026","green",20,10748
"10026","green",21,10277
"10026","green",22,10005
"10026","green",23,8948
"10026","uber",0,272
"10026","uber",1,167
"10026","uber",2,129
"10026","uber",3,257
"10026","uber",4,280
"10026","uber",5,319
"10026","uber",6,417
"10026","uber",7,375
"10026","uber",8,389
"10026","uber",9,387
"10026","uber",10,325
"10026","uber",11,344
"10026","uber",12,381
"10026","uber",13,368
"10026","uber",14,386
"10026","uber",15,394
"10026","uber",16,415
"10026","uber",17,438
"10026","uber",18,480
"10026","uber",19,536
"10026","uber",20,634
"10026","uber",21,616
"10026","uber",22,634
"10026","uber",23,437
"10027","green",0,15924
"10027","green",1,11638
